"Transfer","Sent On","Item","From","To","Qty.","Cost/Value"
"615","2023-12-01","Breeze  Pro Spearmint","Waxahachie","Swing By Sublett","30","$288.00"
"615","2023-12-01","Breeze  Pro Tobacco","Waxahachie","Swing By Sublett","10","$96.00"
"615","2023-12-01","Breeze  Pro Straw Kiwi","Waxahachie","Swing By Sublett","10","$96.00"
"617","2023-12-01","1836 Kratom Green maeng da 50 caps","Waxahachie","Swing By Sublett","6","$69.00"
"618","2023-12-01","1836 Kratom Green maeng da 50 caps","Swing By Sublett","Waxahachie","6","$69.00"
"611","2023-12-01","Geek Bar Pulse Cherry Bomb","Waxahachie","swing by mccart","5","$42.00"
"611","2023-12-01","Geek Bar Pulse Strawberry banana","Waxahachie","swing by mccart","5","$43.10"
"605","2023-12-01","Bumble Bee bali gold 90 caps","Swing by Maypearl","swing by mccart","1","$9.99"
"619","2023-12-02","Fifty Bar 6500  Tobaccocino","Waxahachie","Swing by Maypearl","4","$32.00"
"619","2023-12-02","Lost Mary MO5000  Blue Razz Ice","Waxahachie","Swing by Maypearl","3","$27.00"
"620","2023-12-04","CAMEL Crush crush box","Swing by Maypearl","Waxahachie","10","$82.40"
"621","2023-12-07","Dutch Berry Fusion Burst","Swing by Maypearl","Swing By Sublett","12","$8.04"
"621","2023-12-07","Swisher Sweet 0.99 Maui Pineapple","Swing by Maypearl","Swing By Sublett","15","$9.75"
"621","2023-12-07","tree house d9 syrup watermelon felon","Swing by Maypearl","Swing By Sublett","2","$24.00"
"621","2023-12-07","Juice Head  Pineapple Guava 3mg Freeze","Swing by Maypearl","Swing By Sublett","1","$7.50"
"621","2023-12-07","Juice Head  Pineapple Guava 6mg Freeze","Swing by Maypearl","Swing By Sublett","1","$7.50"
"622","2023-12-07","TBD Orion Bar 7500  Blue Razz Honeydew","Swing by Maypearl","Swing By Sublett","4","$30.00"
"622","2023-12-07","Fifty Bar 6500   Mint","Swing by Maypearl","Swing By Sublett","4","$32.00"
"622","2023-12-07","Urb 3G Saucy THC Diamonds Juicy Fruit","Swing by Maypearl","Swing By Sublett","4","$84.00"
"622","2023-12-07","Funky Lands Strawberry Duo Ice","Swing by Maypearl","Swing By Sublett","5","$45.75"
"623","2023-12-07","Raw Apparel T-Shirt Large","Swing by Maypearl","Swing By Sublett","1","$0.00"
"623","2023-12-07","Raw Apparel T-Shirt XXL","Swing by Maypearl","Swing By Sublett","2","$0.00"
"625","2023-12-07","Geek Bar Pulse Miami Mint","Waxahachie","Swing by Maypearl","5","$43.10"
"625","2023-12-07","Geek Bar Pulse White gummy ice","Waxahachie","Swing by Maypearl","5","$43.10"
"625","2023-12-07","Geek Bar Pulse Watermelon ice","Waxahachie","Swing by Maypearl","5","$43.10"
"625","2023-12-07","Geek Bar Pulse Meta moon","Waxahachie","Swing by Maypearl","5","$43.10"
"625","2023-12-07","Geek Bar Pulse Juicy peach ice","Waxahachie","Swing by Maypearl","5","$43.10"
"625","2023-12-07","Geek Bar Pulse Mexico Mango","Waxahachie","Swing by Maypearl","5","$43.10"
"625","2023-12-07","Geek Bar Pulse Strawberry Mango","Waxahachie","Swing by Maypearl","5","$42.00"
"625","2023-12-07","Geek Bar Pulse Blue Mint","Waxahachie","Swing by Maypearl","5","$42.00"
"625","2023-12-07","Geek Bar Pulse Black Cherry","Waxahachie","Swing by Maypearl","5","$42.00"
"626","2023-12-07","Geek Bar Pulse California cherry","Swing By Sublett","Swing by Maypearl","15","$126.00"
"626","2023-12-07","Geek Bar Pulse Fucking Fab","Swing By Sublett","Swing by Maypearl","5","$43.10"
"626","2023-12-07","Geek Bar Pulse Pink Lemonade","Swing By Sublett","Swing by Maypearl","5","$43.10"
"626","2023-12-07","Geek Bar Pulse Strawberry banana","Swing By Sublett","Swing by Maypearl","5","$43.10"
"626","2023-12-07","Geek Bar Pulse Tropical Rainbow Blast","Swing By Sublett","Swing by Maypearl","5","$43.10"
"626","2023-12-07","Geek Bar Pulse Dragon Melon","Swing By Sublett","Swing by Maypearl","5","$42.00"
"626","2023-12-07","Geek Bar Pulse Grape Blow Pop","Swing By Sublett","Swing by Maypearl","5","$42.00"
"624","2023-12-07","Shake THCa + HHC 4000mg Gummies  Green Apple Watermelon","Swing By Sublett","Swing by Maypearl","2","$50.00"
"624","2023-12-07","Shake THCa + HHC 4000mg Gummies  Peach","Swing By Sublett","Swing by Maypearl","2","$50.00"
"624","2023-12-07","Shake THCa + HHC 4000mg Gummies  Mango","Swing By Sublett","Swing by Maypearl","2","$50.00"
"624","2023-12-07","Shake THCa + HHC 4000mg Gummies Cherry","Swing By Sublett","Swing by Maypearl","2","$50.00"
"624","2023-12-07","Shake THCa + HHC 4000mg Gummies  Fruit Punch","Swing By Sublett","Swing by Maypearl","2","$50.00"
"627","2023-12-11","Geek Bar Pulse Blow Pop","Swing By Sublett","Waxahachie","10","$86.20"
"628","2023-12-11","Good stuff gold 1lbs","Swing by Maypearl","Waxahachie","2","$48.00"
"628","2023-12-11","Good stuff silver 1lbs","Swing by Maypearl","Waxahachie","1","$16.50"
"628","2023-12-11","Good stuff Red 1lbs","Swing by Maypearl","Waxahachie","2","$33.00"
"629","2023-12-12","Geek Bar Pulse Mexico Mango","Swing by Maypearl","Waxahachie","5","$43.10"
"629","2023-12-12","Geek Bar Pulse Sunny Tart Holiday Edition","Swing by Maypearl","Waxahachie","5","$42.00"
"629","2023-12-12","Geek Bar Pulse Grape Blow Pop","Swing by Maypearl","Waxahachie","5","$42.00"
"629","2023-12-12","Geek Bar Pulse Meta moon","Swing by Maypearl","Waxahachie","5","$43.10"
"630","2023-12-12","Geek Bar Pulse Tropical Rainbow Blast","Swing by Maypearl","Swing By Sublett","5","$43.10"
"630","2023-12-12","Geek Bar Pulse Miami Mint","Swing by Maypearl","Swing By Sublett","5","$43.10"
"630","2023-12-12","Geek Bar Pulse Mexico Mango","Swing by Maypearl","Swing By Sublett","5","$43.10"
"630","2023-12-12","Geek Bar Pulse Grape Blow Pop","Swing by Maypearl","Swing By Sublett","5","$42.00"
"630","2023-12-12","Geek Bar Pulse Sunny Tart Holiday Edition","Swing by Maypearl","Swing By Sublett","5","$42.00"
"631","2023-12-12","Core Infinity 6000  Blue Razz Ice","Swing by Maypearl","Swing By Sublett","10","$75.00"
"633","2023-12-12","Core Infinity 6000  Blue Razz Ice","Swing by Maypearl","Waxahachie","10","$75.00"
"633","2023-12-12","Core Infinity 6000 Fabilicious","Swing by Maypearl","Waxahachie","10","$75.00"
"633","2023-12-12","Core Infinity 6000 Watermelon Jolly Ice","Swing by Maypearl","Waxahachie","10","$75.00"
